id,headline,summary,url,source,relevance_tag,timestamp
1,Grocery retailer The Organic World aims to expand to 100 stores by...,"Launched in 2017, the retailer offers over 2,000 organic and natural products. It aims to empower individuals to embrace a chemical-free lifestyle by making informed and better choices in their daily and monthly consumption.",https://retail.economictimes.indiatimes.com/news/food-entertainment/grocery/grocery-retailer-the-organic-world-aims-to-expand-to-100-stores-by-the-end-of-2025/105496700,retail.economictimes.indiatimes.com,TOW,2026-04-16T12:01:46
2,"The Organic World, to add 30 new stores in... - Agro Spectrum India","The Organic World (TOW), a part of the Bengaluru-based business conglomerate, Nimida Group, was launched in 2017 with a mission to create a positive and progressive impact on the world.",https://agrospectrumindia.com/2024/12/06/the-organic-world-to-add-30-new-stores-in-hyderabad.html,agrospectrumindia.com,TOW,2026-04-16T12:01:46
3,The Organic World Expands In Mysore: A New Chapter For Nimida...,"The Organic World (TOW), a popular South Indian grocery chain and the flagship brand of Nimida Group, has made its foray into Mysore as part of its expansion plans in Karnataka. The company has opened two stores in the city, one in Ramakrishna Nagar and the other in Vijayanagar.",https://snackfax.com/business/the-organic-world-expands-in-mysore-a-new-chapter-for-nimida-groups-grocery-chain/,snackfax.com,TOW,2026-04-16T12:01:46
4,The Organic World opens new store in Sahakarnagar,"As part of Nimida Group, The Organic World has been scaling its format within and beyond Bengaluru, adding new locations while maintaining its positioning around accessibility, affordability, and authenticity.",https://www.indianretailer.com/news/organic-world-strengthens-bengaluru-footprint-new-store,indianretailer.com,TOW,2026-04-16T12:01:46
5,The Organic World expands Karnataka footprint... - India Retailing,"Bengaluru: The Organic World (TOW), a South Indian grocery retail chain and flagship brand of Nimida Group, has extended its presence in Karnataka by making its debut in Mysore.Latest News. In FocusIndiaretailing Bureau - June 21, 2025.",https://www.indiaretailing.com/2025/01/21/the-organic-world-expands-karnataka-footprint-launches-in-mysore/,indiaretailing.com,TOW,2026-04-16T12:01:46
6,TOW Aims To Add 30 New Stores In Hyderabad By... - BW Retail World,"Part of the Bengaluru-based Nimida Group, The Organic World marked its foray out of Karnataka with its first store in Hyderabad. In an effort to increase its footprint in South India, The Organic World (TOW), a natural and organic groceries retailer...",https://bwretailworld.com/companies/tow-aims-to-add-30-new-stores-in-hyderabad-by-2025,bwretailworld.com,TOW,2026-04-16T12:01:46
7,The Organic World launches in Mysore,"Home » News » Retail » The Organic World launches in Mysore.The Organic World (TOW), part of the Bengaluru-based Nimida Group, has expanded its store network into Mysore, marking a significant step in its strategic pan-India growth plan.",https://www.retail4growth.com/news/the-organic-world-launches-in-mysore-7095,retail4growth.com,TOW,2026-04-16T12:01:46
8,The Organic World set to grow e-commerce... - The HinduBusinessLine,"Gaurav Manchanda, Founder and Director, Nimida Group. Gaurav Manchanda, Founder and Director, Nimida Group. Bangalore-based grocery retail store, The Organic World, is set to expand its market presence by venturing into quick commerce platforms this month.",https://www.thehindubusinessline.com/companies/the-organic-world-set-to-grow-e-commerce-footprint/article68378071.ece,thehindubusinessline.com,TOW,2026-04-16T12:01:46
9,Culture Circle comes to Hyderabad – Retail Updates,... fashion platform that sells AI verified luxury fashion items and sneakers “Culture Circle” has opened an exclusive store in the city of Hyderabad ...,https://retailupdates.news/2025/03/18/culture-circle-comes-to-hyderabad/,retailupdates.news,TOW,2026-04-16T12:01:52
10,The Organic World is building a retail chain for chemical-free,"The Organic World TOW, which is operated by Nimida Group, acknowledges the need for gradual expansion in India due to the complexities of its ...",https://yourstory.com/smbstory/the-organic-world-is-building-a-retail-chain-for-chemical-free-products,yourstory.com,TOW,2026-04-16T12:01:52
11,"India’s leading natural and organic groceries retailer, The","... the beginning of our journey to provide chemical-free, worry-free living to more people across India,” said Gaurav Manchanda, Founder, Nimida Group, ...",https://www.pninews.com/indias-leading-natural-and-organic-groceries-retailer-the-organic-world-to-add-30-new-stores-in-hyderabad/,pninews.com,TOW,2026-04-16T12:01:57
12,The Organic World launches largest organic store in Bengaluru -,"Gaurav Manchanda, Founder & Director, of the Nimida Group, the parent company of The Organic World, said, “We are excited to bring The Organic ...",https://nuffoodsspectrum.in/2023/10/03/the-organic-world-launches-largest-organic-store-in-bengaluru.html,nuffoodsspectrum.in,TOW,2026-04-16T12:01:57
13,ITC to acquire 24 Mantra Organic for ₹472 crore - The Hindu,"Hemant Malik, Wholetime Director, ITC Ltd said, “Aligning with national priorities, we are confident that 24 Mantra Organic will fortify ITC’s presence and market standing in the high growth organic products space, in both Indian and overseas markets”.",https://www.thehindu.com/business/itc-to-acquire-24-mantra-organic-for-472-crore/article69462164.ece,thehindu.com,competitor,2026-04-16T12:02:04
14,24mantraorganic.com/pages/our-core-initiatives,"At 24 Mantra Organic, we believe that healthy soil is the cornerstone of sustainable agriculture and global food security. The alarming loss of over 50% of the world’s fertile topsoil in the past century, soil that supports 95% of our food production, poses a critical challenge.",https://24mantraorganic.com/pages/our-core-initiatives,24mantraorganic.com,competitor,2026-04-16T12:02:04
15,ITC completes acquisition of 24 Mantra Organic brand owner Sresta...,"This will help ITC to expand its play in the fast-growing organic food products segment. Multi-conglomerate ITC has completed the acquisition of Sresta Natural Bioproducts, which owns the ’24 Mantra Organic brand’ in an all-cash deal valued at Rs 472.50 crore.",https://www.moneycontrol.com/news/india/itc-completes-acquisition-of-24-mantra-organic-brand-owner-sresta-natural-13121749.html,moneycontrol.com,competitor,2026-04-16T12:02:04
16,"24 Mantra Organic Roasted Vermicelli Pouch - 400gms, 100...","Manufacturer. 24 Mantra Organic, SRESTA NATURAL BIOPRODUCTS PVT LTD, H.no.8-2-468/A/1/3, Road no.5, Banjara hills, Hyderabad, Telangana, Pin-500034. INDIA See more.",https://www.amazon.in/24-Mantra-Organic-Vermicelli-Wholewheat/dp/B093LQ7R9G,amazon.in,competitor,2026-04-16T12:02:04
17,24 Mantra Organic’s Range of Honey Infusions - Food & Beverage,"24 Mantra Organic has over 200 organic food products across three broad categories – cooking essentials, packaged foods and beverages, available across the country in 10,000+ outlets, and its own exclusive stores in Hyderabad, Bangalore and Chennai.",https://theorganicmagazine.com/food-and-beverage/sustainability/24-mantra-organics-range-of-honey-infusions/,theorganicmagazine.com,competitor,2026-04-16T12:02:04
18,24 Mantra Organic Reviews by 21 Employees 2024 | AmbitionBox,"24 Mantra Organic is rated 3.7 out of 5, based on 21 reviews by employees on AmbitionBox. 24 Mantra Organic is known for Job Security which is rated at the top and given a rating of 3.8.",https://www.ambitionbox.com/reviews/24-mantra-organic-reviews,ambitionbox.com,competitor,2026-04-16T12:02:04
19,ITC bets big on organic food market with 24 Mantra,"ITC, which recently acquired Hyderabad-based 24 Mantra Organic, is doubling down on the fast-growing packaged organic food market, banking on rising ...",https://www.newindianexpress.com/business/2025/Nov/29/itc-bets-big-on-organic-food-market-with-24-mantra,newindianexpress.com,competitor,2026-04-16T12:02:09
20,Organic farmers’ market ‘EatchMandi’ stands,Hyderabad: Organic has become the most heard word in the recent past ... ITC to acquire Hyderabad-based 24 Mantra Organic for Rs 472.50 crore,https://telanganatoday.com/organic-farmers-market-eatchmandi-stands-out,telanganatoday.com,competitor,2026-04-16T12:02:09
21,Ventureast News,"Hyderabad-based Sresta Natura Bioproducts, which owns the largest packaged organic food brand 24 Mantra, has filed a draft red herring prospectus ...",https://www.ventureast.net/news,ventureast.net,competitor,2026-04-16T12:02:09
22,"From ITC, HUL to Marico: Why big FMCG is paying billions for","... home to Ching’s Secret and Smith & Jones, and Organic ... ITC has bought into Yoga Bar and acquired 24 Mantra through an earn-out structure.",https://www.financialexpress.com/business/news/from-itc-hul-to-marico-why-big-fmcg-is-paying-billions-for-brands-youve-only-seen-on-instagram/4133698/,financialexpress.com,competitor,2026-04-16T12:02:09
23,Indian Organic Industry,... lead to increased competition from traditional and larger retailers seeking to expand their product ranges and provide complementary organic products.,https://blog.sathguru.com/food-and-retail/indian-organic-industry/,blog.sathguru.com,competitor,2026-04-16T12:02:09
24,No IPO plans to revamp on internal investments: MacDonald North,"ITC Limited has signed a share purchase agreement to acquire Hyderabad-based Sresta Natural Bioproducts, the owner of the 24 Mantra Organic brand, in ...",https://agronfoodprocessing.com/no-ipo-plans-to-revamp-on-internal-investments-macdonald-north-east-chairman/,agronfoodprocessing.com,competitor,2026-04-16T12:02:09
25,"24 Mantra, Kachiguda, Hyderabad - Justdial","24 Mantra in Kachiguda, Hyderabad 24 Mantra in Hyderabad is one of the leading businesses in the Organic Food Retailers. Find Address, Contact Number, Reviews & Ratings, Photos, Maps of 24 Mantra, Hyderabad. Sresta, founded in 2004, is a pioneering leader in the organic food sector in India, dedicated to transforming the food habits of Indians towards healthier, chemical-free options. With a ...",https://www.justdial.com/Hyderabad/24-Mantra-Kachiguda/040PXX40-XX40-240912051341-L6R7_BZDET,justdial.com,competitor,2026-04-16T12:02:13
26,"24 Mantra Organic Reviews in Hyderabad, India | Glassdoor","4 24 Mantra Organic reviews in Hyderabad, India. A free inside look at company reviews and salaries posted anonymously by employees.","https://www.glassdoor.com/Reviews/24-Mantra-Organic-Hyderabad-Reviews-EI_IE5175329.0,17_IL.18,27_IM1076.htm",glassdoor.com,competitor,2026-04-16T12:02:13
27,24 Mantra Organic Farm Shop - Organic food store | ZAUBEE,"24 Mantra Organic Farm Shop is a Organic food store located in Bus Stop, HIG 72, opp. Water Tank, Near Temple, Hyderabad, Telangana, IN . The business is listed under organic food store category. It has received 176 reviews with an average rating of 4.1 stars.",https://zaubee.com/biz/24-mantra-organic-farm-shop-bqcm5wde,zaubee.com,competitor,2026-04-16T12:02:13
28,Naturally Yours Organic Neem Powder: Buy packet of... | 1mg,Home Covid Essentials Support Your Immunity naturally yours organic neem powder.Safety Information: Read the label carefully before use. Store in a cool dry place away from direct sunlight. Keep out of reach of the children.,https://www.1mg.com/otc/naturally-yours-organic-neem-powder-otc494139,1mg.com,competitor,2026-04-16T12:02:19
29,Naturally Yours - Organic & Natural Lifestyle Store | Facebook,"Naturally Yours/Satvika is higher in price than Organic Garden and also have terrible customer service. Organic Garden does not always have produce in stock. I would appreciate any leads for Mumbai. Thanks, Darshini. 1 Organic - Natural - Product & Food ( Orgánico - Biologique ) Ian Mbugua Ian MbuguaMay 9, 2025 ...",https://www.facebook.com/groups/naturallyyours/,facebook.com,competitor,2026-04-16T12:02:24
30,"Food safety flags violations at Zepto, Blinkit and more e ...","Nov 27, 2025 · Hyderabad: The Commissioner of Food Safety raided several warehouses of e-commerce platforms in Hyderabad and found several violations, including storage methods.",https://www.siasat.com/food-safety-flags-violations-at-zepto-blinkit-and-more-e-commerce-units-in-hyderabad-3305569/,siasat.com,competitor,2026-04-16T12:02:51
